year,make,brand,body,transmission,state,qty sold,mileage,outer color,interior color,seller,costprice,sellingprice,salemonth
2002,Toyota,Celica,Hatchback,automatic,ga,19,124797,black,black,manheim auctions,2800,3100,Dec
2002,Toyota,Highlander,SUV,automatic,mn,0,165060,green,gray,rudy luther toyota,4975,4500,Dec
2002,Toyota,Highlander,SUV,automatic,va,27,160701,blue,beige,a & r automobile sales  llc,6150,4800,Dec
2002,Toyota,Highlander,SUV,automatic,il,0,152216,black,â€”,grossinger city toyota,4950,4250,Dec
2002,Toyota,Sienna,Minivan,automatic,ny,0,129124,silver,gray,della honda of glens falls,2400,1800,Dec
2002,Toyota,Highlander,SUV,automatic,wi,0,109258,silver,gray,jack safro toyota,6925,6000,Dec
2002,Toyota,Sienna,Minivan,automatic,il,0,129381,blue,â€”,honda on grand,3000,3400,Dec
2002,Toyota,Highlander,SUV,automatic,nj,0,186153,silver,â€”,sams auto wholesale inc,4950,4800,Dec
2001,BMW,7 Series,Sedan,automatic,mi,21,139553,silver,black,malsia used car sales,2250,1000,Dec
2001,BMW,3 Series,Convertible,automatic,fl,19,118772,silver,gray,gold financial corporation,3875,3200,Dec
2001,BMW,3 Series,Convertible,automatic,fl,19,100247,gold,tan,zimmerman auto brokers inc,4525,4800,Dec
2001,BMW,3 Series,Sedan,automatic,fl,0,156530,blue,â€”,tropical chevrolet,2175,1500,Dec
2001,BMW,3 Series,Sedan,automatic,fl,19,138748,white,tan,mid atlantic finance/clearwater,2325,1900,Dec
2001,BMW,Z3,Convertible,automatic,az,0,85248,blue,brown,bill luke fiat,6875,7600,Dec
2001,BMW,5 Series,Sedan,manual,az,0,96937,green,beige,chapman honda,4950,3700,Dec
2001,BMW,5 Series,Sedan,automatic,mi,0,125028,black,tan,lafontaine volkswagen of dearborn,2900,2600,Dec
2001,BMW,X5,SUV,manual,az,2,140121,black,black,security financial,3050,3100,Dec
2001,BMW,3 Series,Sedan,automatic,az,0,107800,white,black,autonation ford scottsdale,3450,950,Dec
2001,BMW,7 Series,Sedan,automatic,va,2,98653,black,beige,dt inventory,3050,2200,Dec
2001,BMW,X5,SUV,automatic,mi,28,108516,silver,black,erhard bmw,4175,4900,Dec
2001,BMW,3 Series,Coupe,automatic,ny,23,148003,black,black,cellexpress inc,3525,2400,Dec
2001,BMW,3 Series,Sedan,automatic,fl,29,141635,black,black,platinum auto finance llc,2800,1800,Dec
2001,BMW,X5,SUV,automatic,nc,0,164329,white,tan,crown honda greensboro,2875,1700,Dec
2001,BMW,Z3,Convertible,automatic,pa,0,139350,black,â€”,bmw of sterling,3800,4400,Dec
2001,BMW,X5,SUV,automatic,fl,0,122909,black,black,florida fine cars inc,3875,1500,Dec
2001,BMW,3 Series,Sedan,automatic,nj,0,157594,gray,â€”,return to perfection inc,2425,1900,Dec
2001,BMW,3 Series,Sedan,automatic,pa,0,82047,silver,â€”,bmw of sterling,3800,3600,Dec
2001,BMW,3 Series,Sedan,manual,va,19,124565,black,gray,ez title loans/zaina corp,2700,1700,Dec
2001,BMW,X5,SUV,automatic,ga,29,142179,black,tan,tdaf remarketing,3550,3900,Dec
2001,BMW,3 Series,Convertible,automatic,nc,19,112807,blue,gray,coastal credit llc/virginia beach/virginia beac,3775,1400,Jan
2001,BMW,3 Series,Coupe,manual,va,22,89608,silver,black,sullivan auto trading inc,4100,4500,Dec
2001,BMW,3 Series,Sedan,manual,ca,0,166632,black,â€”,premium auto wholesale,2000,2500,Dec
2001,BMW,5 Series,Wagon,automatic,mi,0,146917,black,tan,crest lincoln inc,2300,2800,Dec
2001,BMW,3 Series,Sedan,automatic,ma,26,188560,gray,gray,boch new to you superstore,1625,1100,Dec
2001,BMW,5 Series,Sedan,automatic,va,0,116629,gray,â€”,georgetown auto sales inc,1775,2300,Dec
2001,BMW,5 Series,Sedan,manual,ne,0,157603,blue,tan,woodhouse ford inc,2125,2100,Dec
